step,loss,lang_loss,tri_loss,sup_loss,sub_loss,bit_acc_train,bit_acc_test,sub_train,sub_test,dead_bits,entropy
1001,4.5687336921691895,9.137467384338379,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
2001,4.309811115264893,8.619622230529785,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
3001,4.568871974945068,9.137743949890137,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
4001,4.403078556060791,8.806157112121582,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
5001,4.223763942718506,8.447527885437012,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
6001,4.355678081512451,8.711356163024902,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
7001,4.487187385559082,8.974374771118164,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
8001,4.581503391265869,9.163006782531738,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
9001,4.5789690017700195,9.157938003540039,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
10001,4.507320404052734,9.014640808105469,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
11001,4.571409702301025,9.14281940460205,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
12001,4.602395534515381,9.204791069030762,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
13001,4.4974894523620605,8.994978904724121,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
14001,4.481571674346924,8.963143348693848,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
15001,4.490037441253662,8.980074882507324,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
16001,4.459311008453369,8.918622016906738,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
17001,4.430666923522949,8.861333847045898,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
18001,4.264464378356934,8.528928756713867,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
19001,4.381936550140381,8.763873100280762,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
20001,4.446493625640869,8.892987251281738,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
21001,4.512372016906738,9.024744033813477,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
22001,4.322193145751953,8.644386291503906,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
23001,4.321044921875,8.64208984375,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
24001,4.352041721343994,8.704083442687988,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
25001,4.3491950035095215,8.698390007019043,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
26001,4.577898979187012,9.155797958374023,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
27001,4.324171543121338,8.648343086242676,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
28001,4.449697494506836,8.899394989013672,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
29001,4.451207637786865,8.90241527557373,0.0,0.0,0.0,0.5114124417304993,0.5105850696563721,0.50975,0.5025,64,0.07633002664368359
