bit,prime,name,layer,checkpoint,r,i,j,k,norm
0,2,vacío,1,v9,0.0034,0.0000,0.0000,0.0000,0.0034
1,3,información,1,v9,0.8376,0.0000,0.0000,0.0000,0.8376
44,197,uno,1,v9,0.6927,0.0000,0.0000,0.0000,0.6927
2,5,fuerza,2,v9,0.6698,0.0000,0.0000,0.0000,0.6698
8,23,eje_profundidad,2,v9,0.3880,0.0000,0.0000,0.0000,0.3880
10,31,contención,2,v9,1.0000,0.0000,0.0000,0.0000,1.0000
61,293,más,2,v9,0.6263,0.0000,0.0000,0.0000,0.6263
62,307,menos,2,v9,0.0181,0.0000,0.0000,0.0000,0.0181
26,103,unión,2,v9,0.0482,0.0000,0.0000,0.0000,0.0482
27,107,separación,2,v9,0.1282,0.0000,0.0000,0.0000,0.1282
59,281,parte_de,2,v9,0.0738,0.0000,0.0000,0.0000,0.0738
50,233,mover,3,v9,0.5668,0.6477,0.2222,0.0000,0.8889
11,37,posición_temporal,3,v9,0.7721,0.5536,0.3333,0.0000,1.0068
12,41,flujo_temporal,3,v9,0.1537,0.6253,0.4444,0.0000,0.7824
48,227,hacer,3,v9,0.8339,0.5071,0.3333,0.0000,1.0313
24,97,creación,3,v9,0.6458,0.0000,0.4444,0.0000,0.7840
25,101,destrucción,3,v9,0.4081,0.0000,0.4444,0.0000,0.6034
22,83,orden,3,v9,0.8173,0.0000,0.4444,0.0000,0.9303
23,89,caos,3,v9,0.1161,0.0000,0.4444,0.0000,0.4593
54,257,porque,3,v9,0.4927,0.8197,0.4444,0.0000,1.0546
55,263,si_entonces,3,v9,0.0002,0.3727,0.5556,0.0000,0.6690
7,19,eje_vertical,4,v9,0.0813,0.8181,0.2222,0.0000,0.8516
9,29,eje_lateral,4,v9,0.0114,0.5588,0.3333,0.0000,0.6508
18,67,equilibrio,4,v9,0.0028,0.5542,0.4444,0.0000,0.7104
13,43,vista,4,v9,0.2186,1.0000,0.3333,0.0000,1.0765
20,73,bien,4,v9,0.0291,0.0000,0.5556,0.0000,0.5563
21,79,mal,4,v9,0.1439,0.0000,0.5556,0.0000,0.5739
28,109,verdad,4,v9,0.1729,0.0000,0.5556,0.0000,0.5818
29,113,mentira,4,v9,0.1144,0.0000,0.5556,0.0000,0.5672
30,127,libertad,4,v9,0.3678,0.0000,0.3333,0.0000,0.4964
31,131,control,4,v9,0.2754,0.0000,0.3333,0.0000,0.4324
60,283,tipo_de,4,v9,0.0911,0.5187,0.5556,0.0000,0.7655
47,223,algunos,4,v9,0.2214,0.8987,0.4444,0.0000,1.0267
45,199,muchos,4,v9,0.7940,0.7859,0.2222,0.0000,1.1390
46,211,todo,4,v9,0.5771,0.8512,0.3333,0.0000,1.0811
56,269,puede,4,v9,0.5008,0.8620,0.4444,0.0000,1.0915
57,271,debe,4,v9,0.3757,0.9162,0.4444,0.0000,1.0854
58,277,tal_vez,4,v9,0.2601,0.8981,0.5556,0.0000,1.0876
4,11,tierra,5,v9,0.5683,0.8267,0.5556,0.0000,1.1468
5,13,agua,5,v9,0.5693,0.8519,0.3333,0.0000,1.0775
6,17,aire,5,v9,0.0005,0.4405,0.4444,0.0000,0.6258
3,7,fuego,5,v9,0.2716,0.9685,0.5556,0.0000,1.1491
15,53,tacto,5,v9,0.3285,0.9186,0.3333,0.0000,1.0309
14,47,oído,5,v9,0.0350,0.6788,0.5556,0.0000,0.8778
16,59,gusto,5,v9,0.0441,0.7875,0.3333,0.0000,0.8563
17,61,olfato,5,v9,0.1001,0.8356,0.3333,0.0000,0.9052
19,71,interocepción,5,v9,0.0072,0.6322,0.6667,0.0000,0.9188
32,137,vida,5,v9,0.1316,0.0000,0.5556,0.0000,0.5709
33,139,muerte,5,v9,0.0004,0.0000,0.6667,0.0000,0.6667
