step,lang_loss,tri_loss,dist_loss,lr,elapsed_s
118,6.222601,0.000000,0.000000,0.00002360,237.2
119,6.042575,0.000000,0.000000,0.00002380,237.6
120,6.107051,0.000000,0.000000,0.00002400,237.9
121,6.180880,0.000000,0.000000,0.00002420,238.3
122,6.427008,0.000000,0.000000,0.00002440,238.6
123,6.155016,0.000000,0.000000,0.00002460,238.9
124,6.202768,0.000000,0.000000,0.00002480,239.3
125,6.038948,0.000000,0.000000,0.00002500,239.6
126,6.129524,0.000000,0.000000,0.00002520,240.0
127,5.590396,0.000000,0.000000,0.00002540,240.3
128,6.019759,0.000000,0.000000,0.00002560,240.6
129,6.041808,0.000000,0.000000,0.00002580,241.0
130,5.968695,0.000000,0.000000,0.00002600,241.3
131,6.095673,0.000000,0.000000,0.00002620,241.7
132,5.886186,0.000000,0.000000,0.00002640,242.0
133,6.093550,0.000000,0.000000,0.00002660,242.3
134,6.160766,0.000000,0.000000,0.00002680,242.7
135,5.992201,0.000000,0.000000,0.00002700,243.0
136,5.841454,0.000000,0.000000,0.00002720,243.3
137,6.189506,0.000000,0.000000,0.00002740,243.7
138,5.808246,0.000000,0.000000,0.00002760,244.0
139,6.124641,0.000000,0.000000,0.00002780,244.4
140,5.921166,0.000000,0.000000,0.00002800,244.7
141,6.301585,0.000000,0.000000,0.00002820,245.0
142,6.049583,0.000000,0.000000,0.00002840,245.4
143,6.146615,0.000000,0.000000,0.00002860,245.7
144,5.997250,0.000000,0.000000,0.00002880,246.1
145,5.878603,0.000000,0.000000,0.00002900,246.4
146,5.876067,0.000000,0.000000,0.00002920,246.7
147,6.070551,0.000000,0.000000,0.00002940,247.1
148,6.015363,0.000000,0.000000,0.00002960,247.4
149,5.755402,0.000000,0.000000,0.00002980,247.8
150,5.825686,0.000000,0.000000,0.00003000,248.1
151,5.888870,0.000000,0.000000,0.00003020,248.4
152,5.883649,0.000000,0.000000,0.00003040,248.8
153,6.015185,0.000000,0.000000,0.00003060,249.1
154,6.011716,0.000000,0.000000,0.00003080,249.4
155,6.058014,0.000000,0.000000,0.00003100,249.8
156,5.965731,0.000000,0.000000,0.00003120,250.1
157,6.009360,0.000000,0.000000,0.00003140,250.5
158,5.942364,0.000000,0.000000,0.00003160,250.8
159,5.846056,0.000000,0.000000,0.00003180,251.1
160,5.744077,0.000000,0.000000,0.00003200,251.5
161,5.916982,0.000000,0.000000,0.00003220,251.8
162,5.925445,0.000000,0.000000,0.00003240,252.2
163,5.929614,0.000000,0.000000,0.00003260,252.5
164,6.088089,0.000000,0.000000,0.00003280,252.8
165,5.669455,0.000000,0.000000,0.00003300,253.2
166,5.911235,0.000000,0.000000,0.00003320,253.5
167,6.093250,0.000000,0.000000,0.00003340,253.9
168,5.926642,0.000000,0.000000,0.00003360,254.2
169,5.903617,0.000000,0.000000,0.00003380,254.5
