step,loss,lang_loss,tri_loss,sup_loss,sub_loss,bit_acc_train,bit_acc_test,sub_train,sub_test,dead_bits,entropy
25001,4.560956954956055,4.560834884643555,22.2120361328125,1.0187898874282837,0.036865234375,0.5611721873283386,0.569230854511261,0.01836636056065732,0.02127659574468085,34,0.3698287370501412
25001,2.5198004245758057,5.039462566375732,25.37118911743164,1.0263524055480957,0.043701171875,0.555311381816864,0.5644971132278442,0.020782986950217495,0.027079303675048357,35,0.3679634690983226
26001,2.5584967136383057,5.036478519439697,15.091957092285156,0.47034719586372375,0.0108642578125,0.8298901319503784,0.8177515268325806,0.6713388110198163,0.6982591876208898,56,0.11617050846552933
27001,2.354980707168579,4.597886562347412,10.86221981048584,0.15407586097717285,0.00628662109375,0.9676191210746765,0.8748521208763123,0.8931851135814403,0.8994197292069632,25,0.5174793253371456
28001,2.4448320865631104,4.752701759338379,9.021815299987793,0.04138869419693947,0.004638671875,0.9986081719398499,0.9174556136131287,0.9792170130497825,0.9825918762088974,23,0.5200068694146315
29001,2.196880340576172,4.226057052612305,8.306700706481934,0.032456543296575546,0.002288818359375,0.9989011287689209,0.9301775693893433,0.9975833736104398,0.9903288201160542,23,0.5199694511539587
30001,2.5390965938568115,4.879387855529785,7.876859188079834,0.03251731023192406,0.00174713134765625,0.9991208910942078,0.931952714920044,0.9951667472208796,0.9864603481624759,23,0.5202692310589633
31001,2.356722354888916,4.466501712799072,8.17354679107666,0.02602596953511238,0.000888824462890625,0.9994139671325684,0.936982274055481,0.9985500241662639,0.9903288201160542,23,0.5202554074844256
32001,2.4580085277557373,4.653995990753174,7.419067859649658,0.02905888296663761,0.00160980224609375,0.9994139671325684,0.9387574195861816,0.9990333494441759,0.9903288201160542,23,0.5202554074844256
33001,2.4704606533050537,4.682652473449707,6.407235145568848,0.02175949700176716,0.00102996826171875,0.9994872212409973,0.9405325651168823,0.9990333494441759,0.9922630560928434,23,0.5201921849146427
34001,2.4180729389190674,4.504866600036621,7.303214073181152,0.027172744274139404,0.00067901611328125,0.9998535513877869,0.9476332068443298,0.9995166747220879,0.9903288201160542,23,0.5209566120243871
35001,2.4255828857421875,4.422434329986572,8.526174545288086,0.02208968810737133,0.0008544921875,0.9999268054962158,0.9494082927703857,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
36001,2.389406442642212,4.441773414611816,6.693828105926514,0.021175405010581017,0.000919342041015625,0.9999268054962158,0.9502958655357361,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
37001,2.5671093463897705,4.791440963745117,6.811216831207275,0.02027076669037342,0.000759124755859375,0.9999268054962158,0.9514793157577515,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
38001,2.525226593017578,4.718314170837402,6.593013286590576,0.0225334782153368,0.000942230224609375,0.9999268054962158,0.9502958655357361,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
39001,2.409369707107544,4.515045642852783,6.029074668884277,0.0201284047216177,0.000911712646484375,0.9999268054962158,0.949999988079071,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
40001,2.161083698272705,3.989258289337158,6.612608909606934,0.021527966484427452,0.0005035400390625,0.9999268054962158,0.9517751336097717,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
41001,2.3896095752716064,4.4427313804626465,6.686654567718506,0.020590247586369514,0.000385284423828125,0.9999268054962158,0.9508875608444214,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
42001,2.369562864303589,4.347365856170654,7.7919158935546875,0.01954968459904194,0.000835418701171875,0.9999268054962158,0.9526627063751221,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
43001,2.2951014041900635,4.255123615264893,6.6596479415893555,0.018098626285791397,0.0011444091796875,0.9999268054962158,0.9568047523498535,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
44001,2.273101806640625,4.191218852996826,7.0602617263793945,0.018030598759651184,0.000675201416015625,0.9999268054962158,0.9571006298065186,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
45001,2.197467565536499,4.033904075622559,7.181354999542236,0.018259262666106224,0.00054931640625,0.9999268054962158,0.9541420340538025,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
46001,2.338534116744995,4.314051151275635,7.220046520233154,0.019003670662641525,0.000457763671875,0.9999268054962158,0.9582840204238892,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
47001,2.136075496673584,3.962282657623291,6.1542487144470215,0.020026493817567825,0.000614166259765625,0.9999268054962158,0.9582840204238892,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
48001,2.4088215827941895,4.485516548156738,6.604608058929443,0.01744157448410988,0.000606536865234375,0.9999268054962158,0.9550296068191528,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
49001,2.658926010131836,4.978867530822754,6.741383075714111,0.017778441309928894,0.00054931640625,0.9999268054962158,0.9562130570411682,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
50000,2.460848331451416,4.589965343475342,6.596662998199463,0.01733141764998436,0.000659942626953125,0.9999268054962158,0.9565088748931885,0.9995166747220879,0.9903288201160542,23,0.5208237172575393
