step,loss,lang_loss,tri_loss,sup_loss,sub_loss,bit_acc_train,bit_acc_test,sub_train,sub_test,dead_bits,entropy
1001,2.620560646057129,5.241121292114258,0.0,0.0,0.0,0.4698225259780884,0.46272191405296326,0.14805825242718446,0.08737864077669903,55,0.13429127039997413
2001,2.696500301361084,5.393000602722168,0.0,0.0,0.0,0.5281065702438354,0.526627242565155,0.3883495145631068,0.3883495145631068,57,0.07822281718162354
3001,2.3464949131011963,4.692989826202393,0.0,0.0,0.0,0.5071006417274475,0.5124260783195496,0.08737864077669903,0.07766990291262135,53,0.16182565961025833
4001,2.519681453704834,5.039362907409668,0.0,0.0,0.0,0.5230769515037537,0.5147929191589355,0.012135922330097087,0.0,27,0.4926773422676196
5001,2.802443027496338,5.604886054992676,0.0,0.0,0.0,0.552958607673645,0.5325444340705872,0.007281553398058253,0.009708737864077669,30,0.40965042151305964
6001,2.0992960929870605,4.198592185974121,0.0,0.0,0.0,0.5420118570327759,0.5372781157493591,0.019417475728155338,0.019417475728155338,35,0.36770240797173126
7001,2.5122344493865967,5.024468898773193,0.0,0.0,0.0,0.5284024477005005,0.5408284068107605,0.0024271844660194173,0.009708737864077669,28,0.38601269088225787
8001,2.5395584106445312,5.0791168212890625,0.0,0.0,0.0,0.5384615659713745,0.5491124987602234,0.014563106796116505,0.009708737864077669,40,0.30777031382016284
9001,2.4744863510131836,4.948972702026367,0.0,0.0,0.0,0.5606509447097778,0.5585799217224121,0.0,0.0,30,0.40044587507697454
10001,2.673819065093994,5.347638130187988,0.0,0.0,0.0,0.5254437923431396,0.5349112749099731,0.0048543689320388345,0.0,30,0.42833275815135435
11001,2.7212090492248535,5.442418098449707,0.0,0.0,0.0,0.5325443744659424,0.5360947251319885,0.0,0.0,14,0.5994780375578205
12001,2.423696994781494,4.847393989562988,0.0,0.0,0.0,0.5718935132026672,0.571597695350647,0.0048543689320388345,0.0,33,0.3812753194436224
13001,2.6831274032592773,5.366254806518555,0.0,0.0,0.0,0.5724852681159973,0.5573965311050415,0.0024271844660194173,0.0,24,0.4996462400078141
14001,2.6430716514587402,5.2861433029174805,0.0,0.0,0.0,0.5710060000419617,0.555029571056366,0.0,0.0,22,0.4863317932523301
15001,2.4101760387420654,4.820352077484131,0.0,0.0,0.0,0.518639087677002,0.5254438519477844,0.0,0.0,25,0.4751833288596607
16001,2.5962352752685547,5.192470550537109,0.0,0.0,0.0,0.5647929310798645,0.5751479864120483,0.0,0.0,21,0.5344945670561903
17001,2.606677532196045,5.21335506439209,0.0,0.0,0.0,0.573964536190033,0.5526627898216248,0.0,0.0,27,0.44607026016563545
18001,2.8358123302459717,5.671624660491943,0.0,0.0,0.0,0.5511834621429443,0.5349112749099731,0.0024271844660194173,0.009708737864077669,23,0.49968701279155686
19001,2.6068227291107178,5.2136454582214355,0.0,0.0,0.0,0.5609467625617981,0.5585799217224121,0.0,0.0,28,0.4453816925234561
20001,2.5018248558044434,5.003649711608887,0.0,0.0,0.0,0.49733731150627136,0.49349120259284973,0.0024271844660194173,0.0,18,0.5233457403660834
21001,2.4689745903015137,4.937949180603027,0.0,0.0,0.0,0.5005917549133301,0.4792899787425995,0.0048543689320388345,0.0,31,0.3959296663964715
22001,2.565699577331543,5.131399154663086,0.0,0.0,0.0,0.5325444340705872,0.5017751455307007,0.0024271844660194173,0.009708737864077669,26,0.44140068294118084
23001,2.4139485359191895,4.827897071838379,0.0,0.0,0.0,0.5044379234313965,0.48520714044570923,0.0,0.0,22,0.4963767935567443
24001,2.0627198219299316,4.125439643859863,0.0,0.0,0.0,0.49852073192596436,0.5065089464187622,0.0,0.0,18,0.5543095657733588
25001,2.443202257156372,4.88626766204834,24.965518951416016,1.0750192403793335,0.046630859375,0.5153846740722656,0.5029585957527161,0.0,0.0,13,0.558722884547503
26001,2.4168779850006104,4.751074314117432,16.09481430053711,0.20272181928157806,0.00390625,0.9497042298316956,0.9053254723548889,0.9490291262135923,0.9514563106796117,48,0.2166099219466056
27001,2.461284637451172,4.827382564544678,9.264105796813965,0.11630748212337494,0.0034332275390625,0.9742604494094849,0.898224949836731,0.9757281553398058,0.9805825242718447,48,0.22860899145095961
