sample_id,SMILES,formula,MW,CAS,MA,MA (mean est.),Error,Dataset
5repeatAllMolecules/CDS009236_1,COc1cccc(C2CSCCN2)c1,C11H15NOS,209.087436,914349-59-0,10,12.44149692250224,2.441496922502237,NatComm
5repeatAllMolecules/PinacolEster_1,CC1(C)OB(C2=CCCCC2)OC1(C)C,C12H21BO2,208.16346,141091-37-4,10,15.01709209851225,5.017092098512254,NatComm
other/EN300_311967,CCCCCCCCCCCCCCCC(=O)NCCO,C18H37NO2,299.5,544-31-0,10,19.53480529815202,9.534805298152019,Alasdair
5repeatAllMolecules/444TritertButy_1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)cc(-c3cc(C(C)(C)C)ccn3)n2)c1,C27H35N3,401.283097,115091-29-7,10,26.53226107473885,16.53226107473885,NatComm
5repeatAllMolecules/11Methylenedi_1_20190107145522,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,C21H14N2O4,358.095358,13676-54-5,10,20.87579908902074,10.87579908902074,NatComm
150523/CAS_147_58_0,O=C(O)CNC(=O)c1ccccc1I,IC6H4CONHCH2CO2H,305.07,147-58-0,10,11.40057860553651,1.400578605536511,Alasdair
5repeatAllMolecules/CDS022270_1,O=C(O)c1ccnc(-c2cccs2)c1,C10H7NO2S,205.019751,893723-57-4,10,9.557874365040055,0.4421256349599449,NatComm
5repeatAllMolecules/BisphenolAbischloroformate_1,CC(C)(c1ccc(OC(=O)Cl)cc1)c1ccc(OC(=O)Cl)cc1,C17H14Cl2O4,352.026916,2024-88-6,10,23.13062568774562,13.13062568774562,NatComm
5repeatAllMolecules/Chlorquinaldol_1,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,C10H7Cl2NO,226.99047,72-80-0,10,13.71107012894408,3.711070128944078,NatComm
Alasdair-300MW/Sample_#27_Stepped_MS3,Oc1c(I)cc(Cl)c2cccnc12,C9H5ClINO,305.5,130-26-7,9,12.69813993204359,3.698139932043592,Alasdair
Alasdair-300MW/Sample_#12_Stepped_MS3,Oc1c(Br)cc(Br)c2cccnc12,C9H5Br2NO,302.95,521-74-4,9,15.79268917697753,6.792689176977527,Alasdair
5repeatAllMolecules/Diethyl5amino3methyl24_1,CCOC(=O)c1sc(N)c(C(=O)OCC)c1C,C11H15NO4S,257.072181,4815-30-9,9,21.91312129249794,12.91312129249794,NatComm
5repeatAllMolecules/Sulfanilamide_1,Nc1ccc(S(N)(=O)=O)cc1,C6H8N2O2S,172.03065,63-74-1,8,10.54668423900288,2.546684239002881,NatComm
5repeatAllMolecules/CDS021753_1,COC(=O)C12CC3CC(CC(C3)C1)C2,C12H18O2,194.130679,711-01-3,8,11.4311281125914,3.431128112591402,NatComm
Alasdair-300MW/Sample_#22_Stepped_MS3,OCCN1CCC(CCCC2CCN(CCO)CC2)CC1,C17H34N2O2,298.5,18073-84-2,8,14.63025144302225,6.630251443022249,Alasdair
Alasdair-300MW/Sample_#10_Stepped_MS3,CCCCCCCCNC(=S)NCCCCCCCC,C17H36N2S,300.554,109-40-0,8,19.44078733293142,11.44078733293142,Alasdair
150523/CAS_17635_44_8,Brc1n[nH]c(Br)c1Br,C3HBr3N2,304.767,17635-44-8,7,6.461990710225137,0.5380092897748625,Alasdair
150523/CAS_3479_85_4,O=C(O)C(Br)CCC(Br)C(=O)O,C6H8Br2O4,303.93,3479-85-4,7,15.06776798279863,8.067767982798628,Alasdair
5repeatAllMolecules/5Aminoisophthalicacid_1,Nc1cc(C(=O)O)cc(C(=O)O)c1,C8H7NO4,181.037509,99-31-0,7,10.26196575284853,3.261965752848534,NatComm
150523/CAS_381233_96_1,Nc1ncc(Br)cc1I,C5H4BrIN2,297.91,381233-96-1,7,7.379998897637736,0.3799988976377362,Alasdair
5repeatAllMolecules/Methionine_1,CSCC[C@H](N)C(=O)O,C5H11NO2S,149.051051,63-68-3,7,8.09950688507087,1.09950688507087,NatComm
150523/CAS_29632_73_3,Nc1ccc(I)cc1Br,C6H5BrIN,297.9,29632-73-3,6,6.675147501600843,0.6751475016008426,Alasdair
5repeatAllMolecules/4Aminopiperidine_5,NC1CCNCC1,C5H12N2,100.1000048,13035-19-3,4,5.158324996717949,1.158324996717949,NatComm
5repeatAllMolecules/12Aminoethylpiperazine_1,NCCN1CCNCC1,C6H15N3,129.126597,140-31-8,4,7.165481148244227,3.165481148244227,NatComm
