model,rho,alpha,R2,alpha_top25,R2_top25,beta_heaps,R2_heaps,unique_nodes
toggle,0.1,1.2449,0.9034,0.7626,0.9784,0.8076,0.9999,316866
toggle,0.5,0.5176,0.6811,0.1978,0.9377,0.9947,1.0000,1020449
toggle,1.0,0.4628,0.6577,0.1767,0.9078,0.9974,1.0000,1032530
toggle,5.0,0.4395,0.6487,0.1679,0.8976,0.9973,1.0000,1036105
additive,0.1,2.3159,0.7844,0.6540,0.7327,0.0740,0.9973,4908
additive,0.5,2.0078,0.9794,1.6753,0.9878,0.0227,0.9977,7630
additive,1.0,1.4693,0.9845,1.3677,0.9904,0.0046,0.9754,7625
additive,5.0,0.9954,0.9663,0.9285,0.9555,0.0000,nan,7620
